model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
XGBoost,-0.2466,-0.2577,0.3997,1.8407,1.3318,0.9000,0.8900,55.0000,Cu_мг_кг,date2,pca_10,10
GBR,-0.2501,-0.3504,0.6415,1.8433,1.4401,0.8900,0.8900,55.0000,Cu_мг_кг,date2,pca_10,10
RF,-0.2514,-0.4530,0.3319,2.7602,2.1105,0.8900,0.6500,59.0000,Cu_мг_кг,date1,deriv1_snv,300
GBR,-0.2833,-0.3425,0.2914,1.8676,1.4322,0.8800,0.8800,55.0000,Cu_мг_кг,date2,deriv1_snv,300
RF,-0.2916,-0.2717,0.3041,1.8737,1.2687,0.8800,0.8800,55.0000,Cu_мг_кг,date2,vip,98
GBR,-0.3232,-0.5543,0.3939,2.8382,2.1373,0.8700,0.6300,59.0000,Cu_мг_кг,date1,pca_10,10
XGBoost,-0.3731,-0.7377,0.9128,2.8912,2.1417,0.8500,0.6200,59.0000,Cu_мг_кг,date1,vip,61
RF,-0.4103,-0.9010,1.1674,2.9301,2.2213,0.8400,0.6100,59.0000,Cu_мг_кг,date1,hyper_idx,24
XGBoost,-0.4476,-0.5623,0.3739,1.9836,1.4053,0.8300,0.8300,55.0000,Cu_мг_кг,date2,raw_smooth,300
GBR,-0.4641,-0.4717,0.4369,1.9949,1.4332,0.8300,0.8200,55.0000,Cu_мг_кг,date2,vip,98
XGBoost,-0.4657,-0.8155,0.6151,2.9871,2.1592,0.8300,0.6000,59.0000,Cu_мг_кг,date1,pca_10,10
GBR,-0.4834,-0.7977,0.8866,3.0051,2.1907,0.8200,0.6000,59.0000,Cu_мг_кг,date1,raw_smooth,300
GBR,-0.4936,-0.7515,0.5809,3.0154,2.1499,0.8200,0.6000,59.0000,Cu_мг_кг,date1,vip,61
RF,-0.5119,-0.6759,0.6515,2.0271,1.4309,0.8100,0.8100,55.0000,Cu_мг_кг,date2,hyper_idx,24
GBR,-0.5658,-1.0133,0.9337,3.0874,2.4453,0.8000,0.5800,59.0000,Cu_мг_кг,date1,deriv1_snv,300
XGBoost,-0.5724,-0.7629,1.0307,2.0673,1.5719,0.8000,0.7900,55.0000,Cu_мг_кг,date2,deriv1_snv,300
GBR,-0.5783,-1.2253,1.4843,3.0997,2.4199,0.8000,0.5800,59.0000,Cu_мг_кг,date1,hyper_idx,24
XGBoost,-0.5949,-1.3194,2.0731,3.1160,2.2518,0.7900,0.5800,59.0000,Cu_мг_кг,date1,hyper_idx,24
GBR,-0.6037,-0.8536,0.5896,2.0878,1.5131,0.7900,0.7900,55.0000,Cu_мг_кг,date2,hyper_idx,24
XGBoost,-0.6094,-1.1222,0.9538,3.1301,2.1087,0.7900,0.5700,59.0000,Cu_мг_кг,date1,cars_spa,6
XGBoost,-0.7138,-0.7340,0.3516,2.1583,1.4929,0.7600,0.7600,55.0000,Cu_мг_кг,date2,vip,98
XGBoost,-0.9838,-1.7242,2.1906,3.4751,2.6203,0.7100,0.5200,59.0000,Cu_мг_кг,date1,deriv1_snv,300
